ID No,Student Name,Gender,Birth Date(dd/mm/yy),Nationality,Religion,Address,Guardian,Relationship,Guardian Contact,Academic year,Current Class,Stream,Term
STD0001,Akena Peter,Male,01/01/17,Ugandan,Christian,Kampala,Akena Senior,Parent,0710000000,2026,P1,-,Term 3
STD0002,Nakato Aisha,Female,02/02/18,Ugandan,Christian,Kampala,Nakato Senior,Parent,0710000001,2026,P1,-,Term 3
STD0003,Okello Brian,Male,03/03/19,Ugandan,Christian,Kampala,Okello Senior,Parent,0710000002,2026,P1,-,Term 3
STD0004,Namirembe Grace,Female,04/04/17,Ugandan,Christian,Kampala,Namirembe Senior,Parent,0710000003,2026,P1,-,Term 3
STD0005,Ssekandi Joel,Male,05/05/18,Ugandan,Christian,Kampala,Ssekandi Senior,Parent,0710000004,2026,P1,-,Term 3
STD0006,Nabirye Esther,Female,06/06/19,Ugandan,Christian,Kampala,Nabirye Senior,Parent,0710000005,2026,P1,-,Term 3
STD0007,Kato Samuel,Male,07/07/17,Ugandan,Christian,Kampala,Kato Senior,Parent,0710000006,2026,P1,-,Term 3
STD0008,Atim Sarah,Female,08/08/18,Ugandan,Christian,Kampala,Atim Senior,Parent,0710000007,2026,P1,-,Term 3
STD0009,Tumwine Paul,Male,09/09/19,Ugandan,Christian,Kampala,Tumwine Senior,Parent,0710000008,2026,P1,-,Term 3
STD0010,Nampiima Ruth,Female,10/10/17,Ugandan,Christian,Kampala,Nampiima Senior,Parent,0710000009,2026,P1,-,Term 3
STD0011,Byaruhanga David,Male,11/11/18,Ugandan,Christian,Kampala,Byaruhanga Senior,Parent,0710000010,2026,P1,-,Term 3
STD0012,Nantongo Mary,Female,12/12/19,Ugandan,Christian,Kampala,Nantongo Senior,Parent,0710000011,2026,P1,-,Term 3
STD0013,Ssemanda Ivan,Male,13/01/17,Ugandan,Christian,Kampala,Ssemanda Senior,Parent,0710000012,2026,P1,-,Term 3
STD0014,Nanyanzi Joan,Female,14/02/18,Ugandan,Christian,Kampala,Nanyanzi Senior,Parent,0710000013,2026,P1,-,Term 3
STD0015,Odoch Patrick,Male,15/03/19,Ugandan,Christian,Kampala,Odoch Senior,Parent,0710000014,2026,P1,-,Term 3
STD0016,Akello Sharon,Female,16/04/17,Ugandan,Christian,Kampala,Akello Senior,Parent,0710000015,2026,P1,-,Term 3
STD0017,Waiswa Daniel,Male,17/05/18,Ugandan,Christian,Kampala,Waiswa Senior,Parent,0710000016,2026,P1,-,Term 3
STD0018,Namusoke Peace,Female,18/06/19,Ugandan,Christian,Kampala,Namusoke Senior,Parent,0710000017,2026,P1,-,Term 3
STD0019,Odongo Kevin,Male,19/07/17,Ugandan,Christian,Kampala,Odongo Senior,Parent,0710000018,2026,P1,-,Term 3
STD0020,Kisembo Faith,Female,20/08/18,Ugandan,Christian,Kampala,Kisembo Senior,Parent,0710000019,2026,P1,-,Term 3
STD0021,Mugisha Allan,Male,01/01/13,Ugandan,Christian,Kampala,Mugisha Senior,Parent,0710000000,2026,P5,-,Term 3
STD0022,Nabukenya Diana,Female,02/02/14,Ugandan,Christian,Kampala,Nabukenya Senior,Parent,0710000001,2026,P5,-,Term 3
STD0023,Okot Emmanuel,Male,03/03/15,Ugandan,Christian,Kampala,Okot Senior,Parent,0710000002,2026,P5,-,Term 3
STD0024,Nankya Lydia,Female,04/04/13,Ugandan,Christian,Kampala,Nankya Senior,Parent,0710000003,2026,P5,-,Term 3
STD0025,Ssenyonga Mark,Male,05/05/14,Ugandan,Christian,Kampala,Ssenyonga Senior,Parent,0710000004,2026,P5,-,Term 3
STD0026,Alupo Brenda,Female,06/06/15,Ugandan,Christian,Kampala,Alupo Senior,Parent,0710000005,2026,P5,-,Term 3
STD0027,Nsubuga Henry,Male,07/07/13,Ugandan,Christian,Kampala,Nsubuga Senior,Parent,0710000006,2026,P5,-,Term 3
STD0028,Achola Mercy,Female,08/08/14,Ugandan,Christian,Kampala,Achola Senior,Parent,0710000007,2026,P5,-,Term 3
STD0029,Turyahikayo John,Male,09/09/15,Ugandan,Christian,Kampala,Turyahikayo Senior,Parent,0710000008,2026,P5,-,Term 3
STD0030,Namatovu Irene,Female,10/10/13,Ugandan,Christian,Kampala,Namatovu Senior,Parent,0710000009,2026,P5,-,Term 3
STD0031,Ssekajja Robert,Male,11/11/14,Ugandan,Christian,Kampala,Ssekajja Senior,Parent,0710000010,2026,P5,-,Term 3
STD0032,Namara Claire,Female,12/12/15,Ugandan,Christian,Kampala,Namara Senior,Parent,0710000011,2026,P5,-,Term 3
STD0033,Bwire Moses,Male,13/01/13,Ugandan,Christian,Kampala,Bwire Senior,Parent,0710000012,2026,P5,-,Term 3
STD0034,Namutebi Juliet,Female,14/02/14,Ugandan,Christian,Kampala,Namutebi Senior,Parent,0710000013,2026,P5,-,Term 3
STD0035,Ochen Felix,Male,15/03/15,Ugandan,Christian,Kampala,Ochen Senior,Parent,0710000014,2026,P5,-,Term 3
STD0036,Asiimwe Sharon,Female,16/04/13,Ugandan,Christian,Kampala,Asiimwe Senior,Parent,0710000015,2026,P5,-,Term 3
STD0037,Bukenya Simon,Male,17/05/14,Ugandan,Christian,Kampala,Bukenya Senior,Parent,0710000016,2026,P5,-,Term 3
STD0038,Nakayiza Brenda,Female,18/06/15,Ugandan,Christian,Kampala,Nakayiza Senior,Parent,0710000017,2026,P5,-,Term 3
STD0039,Otieno Victor,Male,19/07/13,Ugandan,Christian,Kampala,Otieno Senior,Parent,0710000018,2026,P5,-,Term 3
STD0040,Tendo Patricia,Female,20/08/14,Ugandan,Christian,Kampala,Tendo Senior,Parent,0710000019,2026,P5,-,Term 3
