ID No,Student Name,Gender,Birth Date(dd/mm/yy),Nationality,Religion,Address,Guardian,Relationship,Guardian Contact,Academic year,Current Class,Stream,Term
STD0001,Akena Peter,Male,2017-01-01,Ugandan,Christian,Kampala,Akena Senior,Parent,710000000,2026,P1,-,1
STD0002,Nakato Aisha,Female,2018-02-02,Ugandan,Christian,Kampala,Nakato Senior,Parent,710000001,2026,P1,-,1
STD0003,Okello Brian,Male,2019-03-03,Ugandan,Christian,Kampala,Okello Senior,Parent,710000002,2026,P1,-,1
STD0004,Namirembe Grace,Female,2017-04-04,Ugandan,Christian,Kampala,Namirembe Senior,Parent,710000003,2026,P1,-,1
STD0005,Ssekandi Joel,Male,2018-05-05,Ugandan,Christian,Kampala,Ssekandi Senior,Parent,710000004,2026,P1,-,1
STD0006,Nabirye Esther,Female,2019-06-06,Ugandan,Christian,Kampala,Nabirye Senior,Parent,710000005,2026,P1,-,1
STD0007,Kato Samuel,Male,2017-07-07,Ugandan,Christian,Kampala,Kato Senior,Parent,710000006,2026,P1,-,1
STD0008,Atim Sarah,Female,2018-08-08,Ugandan,Christian,Kampala,Atim Senior,Parent,710000007,2026,P1,-,1
STD0009,Tumwine Paul,Male,2019-09-09,Ugandan,Christian,Kampala,Tumwine Senior,Parent,710000008,2026,P1,-,1
STD0010,Nampiima Ruth,Female,2017-10-10,Ugandan,Christian,Kampala,Nampiima Senior,Parent,710000009,2026,P1,-,1
STD0011,Byaruhanga David,Male,2018-11-11,Ugandan,Christian,Kampala,Byaruhanga Senior,Parent,710000010,2026,P1,-,1
STD0012,Nantongo Mary,Female,2019-12-12,Ugandan,Christian,Kampala,Nantongo Senior,Parent,710000011,2026,P1,-,1
STD0013,Ssemanda Ivan,Male,2017-01-13,Ugandan,Christian,Kampala,Ssemanda Senior,Parent,710000012,2026,P1,-,1
STD0014,Nanyanzi Joan,Female,2018-02-14,Ugandan,Christian,Kampala,Nanyanzi Senior,Parent,710000013,2026,P1,-,1
STD0015,Odoch Patrick,Male,2019-03-15,Ugandan,Christian,Kampala,Odoch Senior,Parent,710000014,2026,P1,-,1
STD0016,Akello Sharon,Female,2017-04-16,Ugandan,Christian,Kampala,Akello Senior,Parent,710000015,2026,P1,-,1
STD0017,Waiswa Daniel,Male,2018-05-17,Ugandan,Christian,Kampala,Waiswa Senior,Parent,710000016,2026,P1,-,1
STD0018,Namusoke Peace,Female,2019-06-18,Ugandan,Christian,Kampala,Namusoke Senior,Parent,710000017,2026,P1,-,1
STD0019,Odongo Kevin,Male,2017-07-19,Ugandan,Christian,Kampala,Odongo Senior,Parent,710000018,2026,P1,-,1
STD0020,Kisembo Faith,Female,2018-08-20,Ugandan,Christian,Kampala,Kisembo Senior,Parent,710000019,2026,P1,-,1
STD0021,Mugisha Allan,Male,2013-01-01,Ugandan,Christian,Kampala,Mugisha Senior,Parent,710000000,2026,P5,-,1
STD0022,Nabukenya Diana,Female,2014-02-02,Ugandan,Christian,Kampala,Nabukenya Senior,Parent,710000001,2026,P5,-,1
STD0023,Okot Emmanuel,Male,2015-03-03,Ugandan,Christian,Kampala,Okot Senior,Parent,710000002,2026,P5,-,1
STD0024,Nankya Lydia,Female,2013-04-04,Ugandan,Christian,Kampala,Nankya Senior,Parent,710000003,2026,P5,-,1
STD0025,Ssenyonga Mark,Male,2014-05-05,Ugandan,Christian,Kampala,Ssenyonga Senior,Parent,710000004,2026,P5,-,1
STD0026,Alupo Brenda,Female,2015-06-06,Ugandan,Christian,Kampala,Alupo Senior,Parent,710000005,2026,P5,-,1
STD0027,Nsubuga Henry,Male,2013-07-07,Ugandan,Christian,Kampala,Nsubuga Senior,Parent,710000006,2026,P5,-,1
STD0028,Achola Mercy,Female,2014-08-08,Ugandan,Christian,Kampala,Achola Senior,Parent,710000007,2026,P5,-,1
STD0029,Turyahikayo John,Male,2015-09-09,Ugandan,Christian,Kampala,Turyahikayo Senior,Parent,710000008,2026,P5,-,1
STD0030,Namatovu Irene,Female,2013-10-10,Ugandan,Christian,Kampala,Namatovu Senior,Parent,710000009,2026,P5,-,1
STD0031,Ssekajja Robert,Male,2014-11-11,Ugandan,Christian,Kampala,Ssekajja Senior,Parent,710000010,2026,P5,-,1
STD0032,Namara Claire,Female,2015-12-12,Ugandan,Christian,Kampala,Namara Senior,Parent,710000011,2026,P5,-,1
STD0033,Bwire Moses,Male,2013-01-13,Ugandan,Christian,Kampala,Bwire Senior,Parent,710000012,2026,P5,-,1
STD0034,Namutebi Juliet,Female,2014-02-14,Ugandan,Christian,Kampala,Namutebi Senior,Parent,710000013,2026,P5,-,1
STD0035,Ochen Felix,Male,2015-03-15,Ugandan,Christian,Kampala,Ochen Senior,Parent,710000014,2026,P5,-,1
STD0036,Asiimwe Sharon,Female,2013-04-16,Ugandan,Christian,Kampala,Asiimwe Senior,Parent,710000015,2026,P5,-,1
STD0037,Bukenya Simon,Male,2014-05-17,Ugandan,Christian,Kampala,Bukenya Senior,Parent,710000016,2026,P5,-,1
STD0038,Nakayiza Brenda,Female,2015-06-18,Ugandan,Christian,Kampala,Nakayiza Senior,Parent,710000017,2026,P5,-,1
STD0039,Otieno Victor,Male,2013-07-19,Ugandan,Christian,Kampala,Otieno Senior,Parent,710000018,2026,P5,-,1
STD0040,Tendo Patricia,Female,2014-08-20,Ugandan,Christian,Kampala,Tendo Senior,Parent,710000019,2026,P5,-,1
